;$FILEVERSION=1.1
;$STARTTIME=44403.6298669907
;
;   Start time: 26/07/2021 15:07:00.508.0
;   Generated by PCAN-View v4.3.4.615
;
;   Message Number
;   |         Time Offset (ms)
;   |         |        Type
;   |         |        |        ID (hex)
;   |         |        |        |     Data Length
;   |         |        |        |     |   Data Bytes (hex) ...
;   |         |        |        |     |   |
;---+--   ----+----  --+--  ----+---  +  -+ -- -- -- -- -- -- --
     1)        68.9  Rx     02F83203  6  70 17 B5 01 C0 08 
     2)        74.5  Rx     03106300  4  05 0B 01 01 
     3)        98.8  Rx     02F83202  1  00 
     4)       144.6  Rx     05F83501  1  00 
     5)       174.5  Rx     03106300  4  05 0B 01 01 
     6)       174.8  Rx     03106303  1  05 
     7)       179.2  Rx     02F83201  8  00 00 00 00 00 00 4C 26 
     8)       194.4  Rx     03216400  0  
     9)       199.0  Rx     02F83202  1  00 
    10)       214.4  Rx     03216401  0  
    11)       249.2  Rx     02F83205  2  00 00 
    12)       274.5  Rx     03106300  4  05 0B 01 01 
    13)       299.3  Rx     02F83202  1  00 
    14)       309.6  Rx     02F83200  8  00 00 00 00 00 00 00 00 
    15)       309.9  Rx     02FF1200  1  06 
    16)       399.5  Rx     02F83202  1  00 
    17)       404.5  Rx     03106300  4  05 0B 01 01 
    18)       459.9  Rx     02F83201  8  00 00 00 00 00 00 4C 26 
    19)       499.8  Rx     02F83202  1  00 
    20)       504.6  Rx     03106300  4  05 0B 01 01 
    21)       520.0  Rx     02F83203  6  70 17 B5 01 C0 08 
    22)       549.9  Rx     02F83205  2  00 00 
    23)       600.0  Rx     02F83202  1  00 
    24)       604.5  Rx     03106300  4  05 0B 01 01 
    25)       700.3  Rx     02F83202  1  00 
    26)       704.5  Rx     03106300  4  05 0B 01 01 
    27)       740.6  Rx     02F83201  8  00 00 00 00 00 00 4C 26 
    28)       800.5  Rx     02F83202  1  00 
    29)       800.8  Rx     02FF1200  1  06 
    30)       834.5  Rx     03106300  4  05 0B 01 01 
    31)       850.6  Rx     02F83205  2  00 00 
    32)       900.7  Rx     02F83202  1  00 
    33)       934.5  Rx     03106300  4  05 0B 01 01 
    34)       971.1  Rx     02F83203  6  70 17 B5 01 C0 08 
    35)      1001.0  Rx     02F83202  1  00 
    36)      1021.3  Rx     02F83201  8  00 00 00 00 00 00 4C 26 
    37)      1034.5  Rx     03106300  4  05 0B 01 01 
    38)      1101.2  Rx     02F83202  1  00 
    39)      1134.5  Rx     03106300  4  05 0B 01 01 
    40)      1151.3  Rx     02F83205  2  00 00 
    41)      1161.4  Rx     05F83501  1  00 
    42)      1201.5  Rx     02F83202  1  00 
    43)      1234.5  Rx     03106300  4  05 0B 01 01 
    44)      1234.8  Rx     03106303  1  05 
    45)      1291.7  Rx     02FF1200  1  06 
    46)      1301.9  Rx     02F83201  8  00 00 00 00 00 00 4C 26 
    47)      1302.3  Rx     02F83202  1  00 
    48)      1366.7  Rx     03106300  4  05 0B 01 01 
    49)      1401.9  Rx     02F83202  1  00 
    50)      1418.0  Rx     05116011  0  
    51)      1422.1  Rx     02F83203  6  70 17 B5 01 C0 08 
    52)      1452.1  Rx     02F83205  2  00 00 
    53)      1464.5  Rx     03106300  4  05 0B 01 01 
    54)      1502.2  Rx     02F83202  1  00 
    55)      1520.0  Rx     05116012  0  
    56)      1564.5  Rx     03106300  4  05 0B 01 01 
    57)      1582.6  Rx     02F83201  8  00 00 00 00 00 00 4C 26 
    58)      1602.4  Rx     02F83202  1  00 
    59)      1623.0  Rx     05116017  0  
    60)      1664.5  Rx     03106300  4  05 0B 01 01 
    61)      1702.6  Rx     02F83202  1  00 
    62)      1725.0  Rx     05116018  0  
    63)      1752.8  Rx     02F83205  2  00 00 
    64)      1774.5  Rx     03106300  4  05 0B 01 01 
    65)      1782.9  Rx     02FF1200  1  06 
    66)      1802.9  Rx     02F83202  1  00 
    67)      1813.2  Rx     02F83200  8  00 00 00 00 00 00 00 00 
    68)      1863.3  Rx     02F83201  8  00 00 00 00 00 00 4C 26 
    69)      1873.2  Rx     02F83203  6  70 17 B5 01 C0 08 
    70)      1894.6  Rx     03106300  4  05 0B 01 01 
    71)      1903.1  Rx     02F83202  1  00 
    72)      1994.5  Rx     03106300  4  05 0B 01 01 
    73)      2003.3  Rx     02F83202  1  00 
    74)      2053.5  Rx     02F83205  2  00 00 
    75)      2094.5  Rx     03106300  4  05 0B 01 01 
    76)      2103.6  Rx     02F83202  1  00 
    77)      2143.9  Rx     02F83201  8  00 00 00 00 00 00 4C 26 
    78)      2178.2  Rx     05F83501  1  00 
    79)      2194.5  Rx     03106300  4  05 0B 01 01 
    80)      2203.8  Rx     02F83202  1  00 
    81)      2274.0  Rx     02FF1200  1  06 
    82)      2294.5  Rx     03106300  4  05 0B 01 01 
    83)      2294.9  Rx     03106303  1  05 
    84)      2304.0  Rx     02F83202  1  00 
    85)      2324.3  Rx     02F83203  6  70 17 B5 01 C0 08 
    86)      2354.2  Rx     02F83205  2  00 00 
    87)      2404.3  Rx     02F83202  1  00 
    88)      2424.6  Rx     02F83201  8  00 00 00 00 00 00 4C 26 
    89)      2425.0  Rx     03106300  4  05 0B 01 01 
    90)      2504.6  Rx     02F83202  1  00 
    91)      2524.5  Rx     03106300  4  05 0B 01 01 
    92)      2604.8  Rx     02F83202  1  00 
    93)      2624.5  Rx     03106300  4  05 0B 01 01 
    94)      2655.0  Rx     02F83205  2  00 00 
    95)      2705.3  Rx     02F83201  8  00 00 00 00 00 00 4C 26 
    96)      2705.6  Rx     02F83202  1  00 
    97)      2724.5  Rx     03106300  4  05 0B 01 01 
    98)      2765.2  Rx     02FF1200  1  06 
    99)      2775.4  Rx     02F83203  6  70 17 B5 01 C0 08 
   100)      2794.0  Rx     05116011  0  
   101)      2805.3  Rx     02F83202  1  00 
   102)      2854.5  Rx     03106300  4  05 0B 01 01 
   103)      2896.0  Rx     05116012  0  
   104)      2905.5  Rx     02F83202  1  00 
   105)      2954.5  Rx     03106300  4  05 0B 01 01 
   106)      2955.7  Rx     02F83205  2  00 00 
   107)      2985.9  Rx     02F83201  8  00 00 00 00 00 00 4C 26 
   108)      2998.0  Rx     05116017  0  
   109)      3005.7  Rx     02F83202  1  00 
   110)      3054.5  Rx     03106300  4  05 0B 01 01 
   111)      3101.0  Rx     05116018  0  
   112)      3106.0  Rx     02F83202  1  00 
   113)      3154.5  Rx     03106300  4  05 0B 01 01 
   114)      3195.0  Rx     05F83501  1  00 
   115)      3206.3  Rx     02F83202  1  00 
   116)      3226.4  Rx     02F83203  6  70 17 B5 01 C0 08 
   117)      3254.5  Rx     03106300  4  05 0B 01 01 
   118)      3256.4  Rx     02F83205  2  00 00 
   119)      3256.7  Rx     02FF1200  1  06 
   120)      3266.6  Rx     02F83201  8  00 00 00 00 00 00 4C 26 
   121)      3306.6  Rx     02FF3000  4  00 00 01 D2 
   122)      3306.9  Rx     02F83202  1  00 
   123)      3316.8  Rx     02F83200  8  00 00 00 00 00 00 00 00 
   124)      3384.5  Rx     03106300  4  05 0B 01 01 
   125)      3384.9  Rx     03106303  1  05 
   126)      3406.7  Rx     02F83202  1  00 
   127)      3484.5  Rx     03106300  4  05 0B 01 01 
   128)      3506.9  Rx     02F83202  1  00 
   129)      3547.3  Rx     02F83201  8  00 00 00 00 00 00 4C 26 
   130)      3557.1  Rx     02F83205  2  00 00 
   131)      3584.6  Rx     03106300  4  05 0B 01 01 
   132)      3607.2  Rx     02F83202  1  00 
   133)      3677.5  Rx     02F83203  6  70 17 B5 01 C0 08 
   134)      3684.5  Rx     03106300  4  05 0B 01 01 
   135)      3707.4  Rx     02F83202  1  00 
   136)      3747.5  Rx     02FF1200  1  06 
   137)      3807.6  Rx     02F83202  1  00 
   138)      3814.5  Rx     03106300  4  05 0B 01 01 
   139)      3828.0  Rx     02F83201  8  00 00 00 00 00 00 4C 26 
   140)      3857.8  Rx     02F83205  2  00 00 
   141)      3907.9  Rx     02F83202  1  00 
   142)      3914.5  Rx     03106300  4  05 0B 01 01 
   143)      4008.1  Rx     02F83202  1  00 
   144)      4014.5  Rx     03106300  4  05 0B 01 01 
   145)      4108.6  Rx     02F83201  8  00 00 00 00 00 00 4C 26 
   146)      4108.9  Rx     02F83202  1  00 
   147)      4114.5  Rx     03106300  4  05 0B 01 01 
   148)      4128.6  Rx     02F83203  6  70 17 B5 01 C0 08 
   149)      4158.5  Rx     02F83205  2  00 00 
   150)      4208.6  Rx     02F83202  1  00 
   151)      4211.7  Rx     05F83501  1  00 
   152)      4214.5  Rx     03106300  4  05 0B 01 01 
   153)      4238.7  Rx     02FF1200  1  06 
