;$FILEVERSION=1.1
;$STARTTIME=44403.6340522338
;
;   Start time: 26/07/2021 15:13:02.113.0
;   Generated by PCAN-View v4.3.4.615
;
;   Message Number
;   |         Time Offset (ms)
;   |         |        Type
;   |         |        |        ID (hex)
;   |         |        |        |     Data Length
;   |         |        |        |     |   Data Bytes (hex) ...
;   |         |        |        |     |   |
;---+--   ----+----  --+--  ----+---  +  -+ -- -- -- -- -- -- --
     1)        58.8  Rx     02F83202  1  00 
     2)        79.1  Rx     02F83201  8  00 00 00 00 00 00 4C 26 
     3)        82.6  Rx     03106300  4  05 0B 01 01 
     4)       109.0  Rx     02F83205  2  00 00 
     5)       159.1  Rx     02F83202  1  00 
     6)       209.2  Rx     02FF1200  1  06 
     7)       212.5  Rx     03106300  4  05 0B 01 01 
     8)       229.4  Rx     02F83203  6  70 17 B5 01 C0 08 
     9)       259.3  Rx     02F83202  1  00 
    10)       312.5  Rx     03106300  4  05 0B 01 01 
    11)       359.8  Rx     02F83201  8  00 00 00 00 00 00 4C 26 
    12)       360.2  Rx     02F83202  1  00 
    13)       409.8  Rx     02F83205  2  00 00 
    14)       412.6  Rx     03106300  4  05 0B 01 01 
    15)       459.8  Rx     02F83202  1  00 
    16)       509.6  Rx     05F83501  1  00 
    17)       512.6  Rx     03106300  4  05 0B 01 01 
    18)       512.9  Rx     03106303  1  05 
    19)       532.4  Rx     03216400  0  
    20)       552.4  Rx     03216401  0  
    21)       560.1  Rx     02F83202  1  00 
    22)       612.6  Rx     03106300  4  05 0B 01 01 
    23)       640.5  Rx     02F83201  8  00 00 00 00 00 00 4C 26 
    24)       660.3  Rx     02F83202  1  00 
    25)       680.6  Rx     02F83203  6  70 17 B5 01 C0 08 
    26)       700.4  Rx     02FF1200  1  06 
    27)       710.5  Rx     02F83205  2  00 00 
    28)       732.5  Rx     03106300  4  05 0B 01 01 
    29)       760.6  Rx     02F83202  1  00 
    30)       852.6  Rx     03106300  4  05 0B 01 01 
    31)       860.8  Rx     02F83202  1  00 
    32)       921.2  Rx     02F83201  8  00 00 00 00 00 00 4C 26 
    33)       952.6  Rx     03106300  4  05 0B 01 01 
    34)       961.0  Rx     02F83202  1  00 
    35)      1011.2  Rx     02F83205  2  00 00 
    36)      1052.6  Rx     03106300  4  05 0B 01 01 
    37)      1061.3  Rx     02F83202  1  00 
    38)      1071.6  Rx     02F83200  8  00 00 00 00 00 00 00 00 
    39)      1131.6  Rx     02F83203  6  70 17 B5 01 C0 08 
    40)      1152.6  Rx     03106300  4  05 0B 01 01 
    41)      1161.5  Rx     02F83202  1  00 
    42)      1191.6  Rx     02FF1200  1  06 
    43)      1201.9  Rx     02F83201  8  00 00 00 00 00 00 4C 26 
    44)      1261.7  Rx     02F83202  1  00 
    45)      1272.5  Rx     03106300  4  05 0B 01 01 
    46)      1311.9  Rx     02F83205  2  00 00 
    47)      1362.0  Rx     02F83202  1  00 
    48)      1372.5  Rx     03106300  4  05 0B 01 01 
    49)      1462.2  Rx     02F83202  1  00 
    50)      1472.5  Rx     03106300  4  05 0B 01 01 
    51)      1482.5  Rx     02F83201  8  00 00 00 00 00 00 4C 26 
    52)      1526.3  Rx     05F83501  1  00 
    53)      1562.4  Rx     02F83202  1  00 
    54)      1572.5  Rx     03106300  4  05 0B 01 01 
    55)      1572.9  Rx     03106303  1  05 
    56)      1582.7  Rx     02F83203  6  70 17 B5 01 C0 08 
    57)      1602.2  Rx     05106012  1  40 
    58)      1612.6  Rx     02F83205  2  00 00 
    59)      1662.7  Rx     02F83202  1  00 
    60)      1672.5  Rx     03106300  4  05 0B 01 01 
    61)      1682.7  Rx     02FF1200  1  06 
    62)      1763.2  Rx     02F83201  8  00 00 00 00 00 00 4C 26 
    63)      1763.5  Rx     02F83202  1  00 
    64)      1802.5  Rx     03106300  4  05 0B 01 01 
    65)      1863.2  Rx     02F83202  1  00 
    66)      1902.5  Rx     03106300  4  05 0B 01 01 
    67)      1913.3  Rx     02F83205  2  00 00 
    68)      1963.4  Rx     02F83202  1  00 
    69)      2002.5  Rx     03106300  4  05 0B 01 01 
    70)      2033.7  Rx     02F83203  6  70 17 B5 01 C0 08 
    71)      2043.9  Rx     02F83201  8  00 00 00 00 00 00 4C 26 
    72)      2063.6  Rx     02F83202  1  00 
    73)      2102.5  Rx     03106300  4  05 0B 01 01 
    74)      2163.9  Rx     02F83202  1  00 
    75)      2173.9  Rx     02FF1200  1  06 
    76)      2214.0  Rx     02F83205  2  00 00 
    77)      2232.5  Rx     03106300  4  05 0B 01 01 
    78)      2264.1  Rx     02F83202  1  00 
    79)      2324.6  Rx     02F83201  8  00 00 00 00 00 00 4C 26 
    80)      2332.5  Rx     03106300  4  05 0B 01 01 
    81)      2364.4  Rx     02F83202  1  00 
    82)      2432.5  Rx     03106300  4  05 0B 01 01 
    83)      2464.6  Rx     02F83202  1  00 
    84)      2484.8  Rx     02F83203  6  70 17 B5 01 C0 08 
    85)      2514.8  Rx     02F83205  2  00 00 
    86)      2532.6  Rx     03106300  4  05 0B 01 01 
    87)      2543.1  Rx     05F83501  1  00 
    88)      2565.0  Rx     02FF3000  4  00 00 02 1A 
    89)      2565.3  Rx     02F83202  1  00 
    90)      2575.1  Rx     02F83200  8  00 00 00 00 00 00 00 00 
    91)      2605.2  Rx     02F83201  8  00 00 00 00 00 00 4C 26 
    92)      2632.6  Rx     03106300  4  05 0B 01 01 
    93)      2632.9  Rx     03106303  1  05 
    94)      2665.1  Rx     02F83202  1  00 
    95)      2665.4  Rx     02FF1200  1  06 
    96)      2764.7  Rx     03106300  4  05 0B 01 01 
    97)      2765.3  Rx     02F83202  1  00 
    98)      2815.5  Rx     02F83205  2  00 00 
    99)      2862.6  Rx     03106300  4  05 0B 01 01 
   100)      2865.6  Rx     02F83202  1  00 
   101)      2885.9  Rx     02F83201  8  00 00 00 00 00 00 4C 26 
   102)      2935.9  Rx     02F83203  6  70 17 B5 01 C0 08 
   103)      2962.6  Rx     03106300  4  05 0B 01 01 
   104)      2965.8  Rx     02F83202  1  00 
   105)      3062.6  Rx     03106300  4  05 0B 01 01 
   106)      3066.0  Rx     02F83202  1  00 
   107)      3116.2  Rx     02F83205  2  00 00 
   108)      3156.3  Rx     02FF1200  1  06 
   109)      3166.6  Rx     02F83201  8  00 00 00 00 00 00 4C 26 
   110)      3166.9  Rx     02F83202  1  00 
   111)      3172.5  Rx     03106300  4  05 0B 01 01 
   112)      3266.5  Rx     02F83202  1  00 
   113)      3292.6  Rx     03106300  4  05 0B 01 01 
   114)      3366.8  Rx     02F83202  1  00 
   115)      3387.0  Rx     02F83203  6  70 17 B5 01 C0 08 
   116)      3392.6  Rx     03106300  4  05 0B 01 01 
   117)      3416.9  Rx     02F83205  2  00 00 
   118)      3447.2  Rx     02F83201  8  00 00 00 00 00 00 4C 26 
   119)      3467.0  Rx     02F83202  1  00 
   120)      3492.6  Rx     03106300  4  05 0B 01 01 
   121)      3559.9  Rx     05F83501  1  00 
   122)      3567.3  Rx     02F83202  1  00 
   123)      3592.6  Rx     03106300  4  05 0B 01 01 
   124)      3647.4  Rx     02FF1200  1  06 
   125)      3667.5  Rx     02F83202  1  00 
   126)      3692.5  Rx     03106300  4  05 0B 01 01 
   127)      3692.9  Rx     03106303  1  05 
   128)      3717.6  Rx     02F83205  2  00 00 
   129)      3727.9  Rx     02F83201  8  00 00 00 00 00 00 4C 26 
   130)      3767.7  Rx     02F83202  1  00 
   131)      3822.5  Rx     03106300  4  05 0B 01 01 
   132)      3838.1  Rx     02F83203  6  70 17 B5 01 C0 08 
   133)      3867.9  Rx     02F83202  1  00 
   134)      3922.5  Rx     03106300  4  05 0B 01 01 
   135)      3968.2  Rx     02F83202  1  00 
   136)      4008.6  Rx     02F83201  8  00 00 00 00 00 00 4C 26 
   137)      4018.3  Rx     02F83205  2  00 00 
   138)      4022.5  Rx     03106300  4  05 0B 01 01 
   139)      4068.4  Rx     02F83202  1  00 
   140)      4078.7  Rx     02F83200  8  00 00 00 00 00 00 00 00 
   141)      4122.6  Rx     03106300  4  05 0B 01 01 
   142)      4138.6  Rx     02FF1200  1  06 
   143)      4168.7  Rx     02F83202  1  00 
