;$FILEVERSION=1.1
;$STARTTIME=44404.6052182292
;
;   Start time: 27/07/2021 14:31:30.855.0
;   Generated by PCAN-View v4.3.4.615
;
;   Message Number
;   |         Time Offset (ms)
;   |         |        Type
;   |         |        |        ID (hex)
;   |         |        |        |     Data Length
;   |         |        |        |     |   Data Bytes (hex) ...
;   |         |        |        |     |   |
;---+--   ----+----  --+--  ----+---  +  -+ -- -- -- -- -- -- --
     1)     18638.6  Rx     05112000  4  88 45 02 00 
     2)     18669.5  Rx     05FF3005  1  00 
     3)     18700.6  Rx     05112000  4  88 45 02 00 
     4)     18731.5  Rx     05FF3005  1  00 
     5)     18762.6  Rx     05112000  4  88 45 02 00 
     6)     18763.0  Rx     022B2000  4  00 00 00 08 
     7)     18793.5  Rx     05FF3005  1  00 
     8)     18824.6  Rx     05112000  4  88 45 02 00 
     9)     18825.1  Rx     022B2000  4  00 00 00 08 
    10)     18855.5  Rx     05FF3005  1  00 
    11)     18886.6  Rx     05112000  4  88 45 02 00 
    12)     18887.0  Rx     022B2000  4  00 00 00 08 
    13)     18917.5  Rx     05FF3005  1  00 
    14)     18948.6  Rx     05112000  4  88 45 02 00 
    15)     18949.0  Rx     022B2000  4  00 00 00 08 
    16)     18979.5  Rx     05FF3005  1  00 
    17)     19010.6  Rx     05112000  4  88 45 02 00 
    18)     19011.1  Rx     022B2000  4  00 00 00 08 
    19)     19041.5  Rx     05FF3005  1  00 
    20)     19072.6  Rx     05112000  4  88 45 02 00 
    21)     19073.1  Rx     022B2000  4  00 00 00 08 
    22)     19103.5  Rx     05FF3005  1  00 
    23)     19134.6  Rx     05112000  4  88 45 02 00 
    24)     19135.1  Rx     022B2000  4  00 00 00 08 
    25)     19165.5  Rx     05FF3005  1  00 
    26)     19196.6  Rx     05112000  4  88 45 02 00 
    27)     19197.1  Rx     022B2000  4  00 00 00 08 
    28)     19227.5  Rx     05FF3005  1  00 
    29)     19258.6  Rx     05112000  4  88 45 02 00 
    30)     19259.1  Rx     022B2000  4  00 00 00 08 
    31)     19289.5  Rx     05FF3005  1  00 
    32)     19320.6  Rx     05112000  4  88 45 02 00 
    33)     19321.0  Rx     022B2000  4  00 00 00 08 
    34)     19351.5  Rx     05FF3005  1  00 
    35)     19382.6  Rx     05112000  4  88 45 02 00 
    36)     19383.0  Rx     022B2000  4  00 00 00 08 
    37)     19413.5  Rx     05FF3005  1  00 
    38)     19444.6  Rx     05112000  4  88 45 02 00 
    39)     19445.1  Rx     022B2000  4  00 00 00 08 
    40)     19475.5  Rx     05FF3005  1  00 
    41)     19506.6  Rx     05112000  4  88 45 02 00 
    42)     19507.1  Rx     022B2000  4  00 00 00 08 
    43)     19537.5  Rx     05FF3005  1  00 
    44)     19568.6  Rx     05112000  4  88 45 02 00 
    45)     19569.1  Rx     022B2000  4  00 00 00 08 
    46)     19599.5  Rx     05FF3005  1  00 
    47)     19630.6  Rx     05112000  4  88 45 02 00 
    48)     19631.1  Rx     022B2000  4  00 00 00 08 
    49)     19661.5  Rx     05FF3005  1  00 
    50)     19692.6  Rx     05112000  4  88 45 02 00 
    51)     19693.1  Rx     022B2000  4  00 00 00 08 
    52)     19723.5  Rx     05FF3005  1  00 
    53)     19754.6  Rx     05112000  4  88 45 02 00 
    54)     19755.0  Rx     022B2000  4  00 00 00 08 
    55)     19785.5  Rx     05FF3005  1  00 
    56)     19816.6  Rx     05112000  4  88 45 02 00 
    57)     19817.0  Rx     022B2000  4  00 00 00 08 
    58)     19847.5  Rx     05FF3005  1  00 
    59)     19878.5  Rx     05112000  4  88 45 02 00 
    60)     19879.0  Rx     022B2000  4  00 00 00 08 
    61)     19909.4  Rx     05FF3005  1  00 
    62)     19940.5  Rx     05112000  4  88 45 02 00 
    63)     19941.0  Rx     022B2000  4  00 00 00 08 
    64)     19971.4  Rx     05FF3005  1  00 
    65)     20002.6  Rx     05112000  4  88 45 02 00 
    66)     20003.0  Rx     022B2000  4  00 00 00 08 
    67)     20033.4  Rx     05FF3005  1  00 
    68)     20064.6  Rx     05112000  4  88 45 02 00 
    69)     20065.0  Rx     022B2000  4  00 00 00 08 
    70)     20095.4  Rx     05FF3005  1  00 
    71)     20126.6  Rx     05112000  4  88 45 02 00 
    72)     20127.0  Rx     022B2000  4  00 00 00 08 
    73)     20157.4  Rx     05FF3005  1  00 
    74)     20188.5  Rx     05112000  4  88 45 02 00 
    75)     20189.0  Rx     022B2000  4  00 00 00 08 
    76)     20219.4  Rx     05FF3005  1  00 
    77)     20250.5  Rx     05112000  4  88 45 02 00 
    78)     20251.0  Rx     022B2000  4  00 00 00 08 
    79)     20281.4  Rx     05FF3005  1  00 
    80)     20312.5  Rx     05112000  4  88 45 02 00 
    81)     20313.0  Rx     022B2000  4  00 00 00 08 
    82)     20343.4  Rx     05FF3005  1  00 
    83)     20374.6  Rx     05112000  4  88 45 02 00 
    84)     20375.0  Rx     022B2000  4  00 00 00 08 
    85)     20405.4  Rx     05FF3005  1  00 
    86)     20436.5  Rx     05112000  4  88 45 02 00 
    87)     20437.0  Rx     022B2000  4  00 00 00 08 
    88)     20467.4  Rx     05FF3005  1  00 
    89)     20498.6  Rx     05112000  4  88 45 02 00 
    90)     20499.0  Rx     022B2000  4  00 00 00 08 
    91)     20529.4  Rx     05FF3005  1  00 
    92)     20560.6  Rx     05112000  4  88 45 02 00 
    93)     20561.0  Rx     022B2000  4  00 00 00 08 
    94)     20591.4  Rx     05FF3005  1  00 
    95)     20622.5  Rx     05112000  4  88 45 02 00 
    96)     20623.0  Rx     022B2000  4  00 00 00 08 
    97)     20653.4  Rx     05FF3005  1  00 
    98)     20684.5  Rx     05112000  4  88 45 02 00 
    99)     20685.0  Rx     022B2000  4  00 00 00 08 
   100)     20715.4  Rx     05FF3005  1  00 
   101)     20746.5  Rx     05112000  4  88 45 02 00 
   102)     20747.0  Rx     022B2000  4  00 00 00 08 
   103)     20777.4  Rx     05FF3005  1  00 
   104)     20808.5  Rx     05112000  4  88 45 02 00 
   105)     20809.0  Rx     022B2000  4  00 00 00 08 
   106)     20839.4  Rx     05FF3005  1  00 
   107)     20870.5  Rx     05112000  4  88 45 02 00 
   108)     20871.0  Rx     022B2000  4  00 00 00 08 
   109)     20901.4  Rx     05FF3005  1  00 
   110)     20932.6  Rx     05112000  4  88 45 02 00 
   111)     20933.0  Rx     022B2000  4  00 00 00 08 
   112)     20963.4  Rx     05FF3005  1  00 
   113)     20994.6  Rx     05112000  4  88 45 02 00 
   114)     20995.0  Rx     022B2000  4  00 00 00 08 
   115)     21025.4  Rx     05FF3005  1  00 
   116)     21056.6  Rx     05112000  4  88 45 02 00 
   117)     21057.0  Rx     022B2000  4  00 00 00 08 
   118)     21087.4  Rx     05FF3005  1  00 
   119)     21118.6  Rx     05112000  4  88 45 02 00 
   120)     21119.0  Rx     022B2000  4  00 00 00 08 
   121)     21149.4  Rx     05FF3005  1  00 
   122)     21180.6  Rx     05112000  4  88 45 02 00 
   123)     21181.0  Rx     022B2000  4  00 00 00 08 
   124)     21211.4  Rx     05FF3005  1  00 
   125)     21242.6  Rx     05112000  4  88 45 02 00 
   126)     21243.0  Rx     022B2000  4  00 00 00 08 
   127)     21273.4  Rx     05FF3005  1  00 
   128)     21304.5  Rx     05112000  4  88 45 02 00 
   129)     21305.0  Rx     022B2000  4  00 00 00 08 
   130)     21335.4  Rx     05FF3005  1  00 
   131)     21366.5  Rx     05112000  4  88 45 02 00 
   132)     21367.0  Rx     022B2000  4  00 00 00 08 
   133)     21397.4  Rx     05FF3005  1  00 
   134)     21428.6  Rx     05112000  4  88 45 02 00 
   135)     21429.0  Rx     022B2000  4  00 00 00 08 
   136)     21459.4  Rx     05FF3005  1  00 
   137)     21490.6  Rx     05112000  4  88 45 02 00 
   138)     21491.0  Rx     022B2000  4  00 00 00 08 
   139)     21521.4  Rx     05FF3005  1  00 
   140)     21552.6  Rx     05112000  4  88 45 02 00 
   141)     21553.0  Rx     022B2000  4  00 00 00 08 
   142)     21583.4  Rx     05FF3005  1  00 
   143)     21614.6  Rx     05112000  4  88 45 02 00 
   144)     21615.0  Rx     022B2000  4  00 00 00 08 
   145)     21645.4  Rx     05FF3005  1  00 
   146)     21676.6  Rx     05112000  4  88 45 02 00 
   147)     21677.0  Rx     022B2000  4  00 00 00 08 
   148)     21707.4  Rx     05FF3005  1  00 
   149)     21738.5  Rx     05112000  4  88 45 02 00 
   150)     21739.0  Rx     022B2000  4  00 00 00 08 
   151)     21769.4  Rx     05FF3005  1  00 
   152)     21800.5  Rx     05112000  4  88 45 02 00 
   153)     21801.0  Rx     022B2000  4  00 00 00 08 
   154)     21831.4  Rx     05FF3005  1  00 
   155)     21862.6  Rx     05112000  4  88 45 02 00 
   156)     21863.0  Rx     022B2000  4  00 00 00 08 
   157)     21893.4  Rx     05FF3005  1  00 
   158)     21924.6  Rx     05112000  4  88 45 02 00 
   159)     21925.0  Rx     022B2000  4  00 00 00 08 
   160)     21955.4  Rx     05FF3005  1  00 
   161)     21986.5  Rx     05112000  4  88 45 02 00 
   162)     21987.0  Rx     022B2000  4  00 00 00 08 
   163)     22017.4  Rx     05FF3005  1  00 
   164)     22048.5  Rx     05112000  4  88 45 02 00 
   165)     22049.0  Rx     022B2000  4  00 00 00 08 
   166)     22079.4  Rx     05FF3005  1  00 
   167)     22110.5  Rx     05112000  4  88 45 02 00 
   168)     22111.0  Rx     022B2000  4  00 00 00 08 
   169)     22141.4  Rx     05FF3005  1  00 
   170)     22172.5  Rx     05112000  4  88 45 02 00 
   171)     22173.0  Rx     022B2000  4  00 00 00 08 
   172)     22203.4  Rx     05FF3005  1  00 
   173)     22234.5  Rx     05112000  4  88 45 02 00 
   174)     22235.0  Rx     022B2000  4  00 00 00 08 
   175)     22265.4  Rx     05FF3005  1  00 
   176)     22296.5  Rx     05112000  4  88 45 02 00 
   177)     22297.0  Rx     022B2000  4  00 00 00 08 
   178)     22327.4  Rx     05FF3005  1  00 
   179)     22358.6  Rx     05112000  4  88 45 02 00 
   180)     22359.0  Rx     022B2000  4  00 00 00 08 
   181)     22389.4  Rx     05FF3005  1  00 
   182)     22420.5  Rx     05112000  4  88 45 02 00 
   183)     22421.0  Rx     022B2000  4  00 00 00 08 
   184)     22451.4  Rx     05FF3005  1  00 
   185)     22482.5  Rx     05112000  4  88 45 02 00 
   186)     22483.0  Rx     022B2000  4  00 00 00 08 
   187)     22513.4  Rx     05FF3005  1  00 
   188)     22544.5  Rx     05112000  4  88 45 02 00 
   189)     22545.0  Rx     022B2000  4  00 00 00 08 
   190)     22575.4  Rx     05FF3005  1  00 
   191)     22606.5  Rx     05112000  4  88 45 02 00 
   192)     22607.0  Rx     022B2000  4  00 00 00 08 
   193)     22637.4  Rx     05FF3005  1  00 
   194)     22668.5  Rx     05112000  4  88 45 02 00 
   195)     22668.9  Rx     022B2000  4  00 00 00 08 
   196)     22699.4  Rx     05FF3005  1  00 
   197)     22730.5  Rx     05112000  4  88 45 02 00 
   198)     22731.0  Rx     022B2000  4  00 00 00 08 
   199)     22761.4  Rx     05FF3005  1  00 
   200)     22792.6  Rx     05112000  4  88 45 02 00 
   201)     22793.0  Rx     022B2000  4  00 00 00 08 
   202)     22823.4  Rx     05FF3005  1  00 
   203)     22854.5  Rx     05112000  4  88 45 02 00 
   204)     22855.0  Rx     022B2000  4  00 00 00 08 
   205)     22885.4  Rx     05FF3005  1  00 
   206)     22916.5  Rx     05112000  4  88 45 02 00 
   207)     22917.0  Rx     022B2000  4  00 00 00 08 
   208)     22947.4  Rx     05FF3005  1  00 
   209)     22978.5  Rx     05112000  4  88 45 02 00 
   210)     22979.0  Rx     022B2000  4  00 00 00 08 
   211)     23009.4  Rx     05FF3005  1  00 
   212)     23040.5  Rx     05112000  4  88 45 02 00 
   213)     23040.9  Rx     022B2000  4  00 00 00 08 
   214)     23071.4  Rx     05FF3005  1  00 
   215)     23102.5  Rx     05112000  4  88 45 02 00 
   216)     23102.9  Rx     022B2000  4  00 00 00 08 
   217)     23133.4  Rx     05FF3005  1  00 
   218)     23164.5  Rx     05112000  4  88 45 02 00 
   219)     23165.0  Rx     022B2000  4  00 00 00 08 
   220)     23195.4  Rx     05FF3005  1  00 
   221)     23226.5  Rx     05112000  4  88 45 02 00 
   222)     23227.0  Rx     022B2000  4  00 00 00 08 
   223)     23257.4  Rx     05FF3005  1  00 
   224)     23288.5  Rx     05112000  4  88 45 02 00 
   225)     23289.0  Rx     022B2000  4  00 00 00 08 
   226)     23319.4  Rx     05FF3005  1  00 
   227)     23350.5  Rx     05112000  4  88 45 02 00 
   228)     23351.0  Rx     022B2000  4  00 00 00 08 
   229)     23381.4  Rx     05FF3005  1  00 
   230)     23412.5  Rx     05112000  4  88 45 02 00 
   231)     23413.0  Rx     022B2000  4  00 00 00 08 
   232)     23443.4  Rx     05FF3005  1  00 
   233)     23474.5  Rx     05112000  4  88 45 02 00 
   234)     23474.9  Rx     022B2000  4  00 00 00 08 
   235)     23505.4  Rx     05FF3005  1  00 
   236)     23536.5  Rx     05112000  4  88 45 02 00 
   237)     23536.9  Rx     022B2000  4  00 00 00 08 
