;$FILEVERSION=1.1
;$STARTTIME=44410.3735319213
;
;   Start time: 02/08/2021 08:57:53.158.0
;   Generated by PCAN-View v4.3.4.615
;
;   Message Number
;   |         Time Offset (ms)
;   |         |        Type
;   |         |        |        ID (hex)
;   |         |        |        |     Data Length
;   |         |        |        |     |   Data Bytes (hex) ...
;   |         |        |        |     |   |
;---+--   ----+----  --+--  ----+---  +  -+ -- -- -- -- -- -- --
     1)        57.5  Rx     03106300  4  05 0B 00 01 
     2)       189.6  Rx     03106300  4  05 0B 00 01 
     3)       287.5  Rx     03106300  4  05 0B 00 01 
     4)       387.5  Rx     03106300  4  05 0B 00 01 
     5)       487.5  Rx     03106300  4  05 0B 00 01 
     6)       597.4  Rx     03106300  4  05 0B 00 01 
     7)       713.3  Rx     05F83501  1  00 
     8)       717.5  Rx     03106300  4  05 0B 00 01 
     9)       717.8  Rx     03106303  1  05 
    10)       817.5  Rx     03106300  4  05 0B 00 01 
    11)       917.5  Rx     03106300  4  05 0B 00 01 
    12)      1017.5  Rx     03106300  4  05 0B 00 01 
    13)      1117.5  Rx     03106300  4  05 0B 00 01 
    14)      1247.5  Rx     03106300  4  05 0B 00 01 
    15)      1347.5  Rx     03106300  4  05 0B 00 01 
    16)      1447.5  Rx     03106300  4  05 0B 00 01 
    17)      1547.5  Rx     03106300  4  05 0B 00 01 
    18)      1677.5  Rx     03106300  4  05 0B 00 01 
    19)      1730.1  Rx     05F83501  1  00 
    20)      1777.5  Rx     03106300  4  05 0B 00 01 
    21)      1777.8  Rx     03106303  1  05 
    22)      1877.5  Rx     03106300  4  05 0B 00 01 
    23)      1977.5  Rx     03106300  4  05 0B 00 01 
    24)      2077.5  Rx     03106300  4  05 0B 00 01 
    25)      2207.6  Rx     03106300  4  05 0B 00 01 
    26)      2307.5  Rx     03106300  4  05 0B 00 01 
    27)      2407.5  Rx     03106300  4  05 0B 00 01 
    28)      2507.5  Rx     03106300  4  05 0B 00 01 
    29)      2637.5  Rx     03106300  4  05 0B 00 01 
    30)      2737.5  Rx     03106300  4  05 0B 00 01 
    31)      2746.8  Rx     05F83501  1  00 
    32)      2837.6  Rx     03106300  4  05 0B 00 01 
    33)      2837.9  Rx     03106303  1  05 
    34)      2937.5  Rx     03106300  4  05 0B 00 01 
    35)      3037.5  Rx     03106300  4  05 0B 00 01 
    36)      3157.5  Rx     03106300  4  05 0B 00 01 
    37)      3277.5  Rx     03106300  4  05 0B 00 01 
    38)      3377.5  Rx     03106300  4  05 0B 00 01 
    39)      3477.5  Rx     03106300  4  05 0B 00 01 
    40)      3577.5  Rx     03106300  4  05 0B 00 01 
    41)      3697.5  Rx     03106300  4  05 0B 00 01 
    42)      3763.6  Rx     05F83501  1  00 
    43)      3797.5  Rx     03106300  4  05 0B 00 01 
    44)      3897.5  Rx     03106300  4  05 0B 00 01 
    45)      3897.8  Rx     03106303  1  05 
    46)      3917.4  Rx     03216400  0  
    47)      3937.4  Rx     03216401  0  
    48)      3997.5  Rx     03106300  4  05 0B 00 01 
    49)      4097.5  Rx     03106300  4  05 0B 00 01 
    50)      4227.5  Rx     03106300  4  05 0B 00 01 
    51)      4327.5  Rx     03106300  4  05 0B 00 01 
    52)      4427.5  Rx     03106300  4  05 0B 00 01 
    53)      4527.5  Rx     03106300  4  05 0B 00 01 
    54)      4657.5  Rx     03106300  4  05 0B 00 01 
    55)      4757.5  Rx     03106300  4  05 0B 00 01 
    56)      4780.4  Rx     05F83501  1  00 
    57)      4857.5  Rx     03106300  4  05 0B 00 01 
    58)      4957.5  Rx     03106300  4  05 0B 00 01 
    59)      4957.8  Rx     03106303  1  05 
    60)      5057.5  Rx     03106300  4  05 0B 00 01 
    61)      5189.7  Rx     03106300  4  05 0B 00 01 
    62)      5287.6  Rx     03106300  4  05 0B 00 01 
    63)      5387.5  Rx     03106300  4  05 0B 00 01 
    64)      5487.5  Rx     03106300  4  05 0B 00 01 
    65)      5597.5  Rx     03106300  4  05 0B 00 01 
    66)      5717.5  Rx     03106300  4  05 0B 00 01 
    67)      5797.1  Rx     05F83501  1  00 
    68)      5817.5  Rx     03106300  4  05 0B 00 01 
    69)      5917.5  Rx     03106300  4  05 0B 00 01 
    70)      6017.5  Rx     03106300  4  05 0B 00 01 
    71)      6017.9  Rx     03106303  1  05 
    72)      6117.6  Rx     03106300  4  05 0B 00 01 
    73)      6247.6  Rx     03106300  4  05 0B 00 01 
    74)      6347.6  Rx     03106300  4  05 0B 00 01 
    75)      6447.6  Rx     03106300  4  05 0B 00 01 
    76)      6547.5  Rx     03106300  4  05 0B 00 01 
    77)      6677.5  Rx     03106300  4  05 0B 00 01 
    78)      6777.5  Rx     03106300  4  05 0B 00 01 
    79)      6813.9  Rx     05F83501  1  00 
    80)      6877.5  Rx     03106300  4  05 0B 00 01 
    81)      6977.5  Rx     03106300  4  05 0B 00 01 
    82)      7077.5  Rx     03106300  4  05 0B 00 01 
    83)      7077.9  Rx     03106303  1  05 
    84)      7207.5  Rx     03106300  4  05 0B 00 01 
    85)      7307.5  Rx     03106300  4  05 0B 00 01 
    86)      7407.5  Rx     03106300  4  05 0B 00 01 
    87)      7507.5  Rx     03106300  4  05 0B 00 01 
    88)      7637.5  Rx     03106300  4  05 0B 00 01 
    89)      7737.6  Rx     03106300  4  05 0B 00 01 
    90)      7830.6  Rx     05F83501  1  00 
    91)      7837.6  Rx     03106300  4  05 0B 00 01 
    92)      7937.6  Rx     03106300  4  05 0B 00 01 
    93)      8037.6  Rx     03106300  4  05 0B 00 01 
    94)      8157.5  Rx     03106300  4  05 0B 00 01 
    95)      8177.4  Rx     03106303  1  05 
    96)      8287.6  Rx     03106300  4  05 0B 00 01 
    97)      8387.6  Rx     03106300  4  05 0B 00 01 
    98)      8487.6  Rx     03106300  4  05 0B 00 01 
    99)      8597.5  Rx     03106300  4  05 0B 00 01 
   100)      8717.6  Rx     03106300  4  05 0B 00 01 
   101)      8817.6  Rx     03106300  4  05 0B 00 01 
   102)      8847.4  Rx     05F83501  1  00 
   103)      8917.6  Rx     03106300  4  05 0B 00 01 
   104)      9017.6  Rx     03106300  4  05 0B 00 01 
   105)      9117.6  Rx     03106300  4  05 0B 00 01 
   106)      9247.6  Rx     03106300  4  05 0B 00 01 
   107)      9247.9  Rx     03106303  1  05 
   108)      9347.6  Rx     03106300  4  05 0B 00 01 
   109)      9447.6  Rx     03106300  4  05 0B 00 01 
   110)      9547.6  Rx     03106300  4  05 0B 00 01 
   111)      9677.6  Rx     03106300  4  05 0B 00 01 
   112)      9777.6  Rx     03106300  4  05 0B 00 01 
   113)      9864.2  Rx     05F83501  1  00 
   114)      9877.6  Rx     03106300  4  05 0B 00 01 
   115)      9977.6  Rx     03106300  4  05 0B 00 01 
   116)     10077.6  Rx     03106300  4  05 0B 00 01 
   117)     10207.6  Rx     03106300  4  05 0B 00 01 
   118)     10307.5  Rx     03106300  4  05 0B 00 01 
   119)     10307.9  Rx     03106303  1  05 
   120)     10407.6  Rx     03106300  4  05 0B 00 01 
   121)     10507.6  Rx     03106300  4  05 0B 00 01 
   122)     10637.5  Rx     03106300  4  05 0B 00 01 
   123)     10737.6  Rx     03106300  4  05 0B 00 01 
   124)     10837.6  Rx     03106300  4  05 0B 00 01 
   125)     10880.9  Rx     05F83501  1  00 
   126)     10937.6  Rx     03106300  4  05 0B 00 01 
   127)     11037.5  Rx     03106300  4  05 0B 00 01 
   128)     11157.5  Rx     03106300  4  05 0B 00 01 
   129)     11277.6  Rx     03106300  4  05 0B 00 01 
   130)     11377.6  Rx     03106300  4  05 0B 00 01 
   131)     11378.0  Rx     03106303  1  05 
   132)     11477.6  Rx     03106300  4  05 0B 00 01 
   133)     11577.6  Rx     03106300  4  05 0B 00 01 
   134)     11697.6  Rx     03106300  4  05 0B 00 01 
   135)     11797.6  Rx     03106300  4  05 0B 00 01 
   136)     11897.6  Rx     03106300  4  05 0B 00 01 
   137)     11897.9  Rx     05F83501  1  00 
   138)     11997.6  Rx     03106300  4  05 0B 00 01 
   139)     12097.5  Rx     03106300  4  05 0B 00 01 
   140)     12227.6  Rx     03106300  4  05 0B 00 01 
   141)     12327.6  Rx     03106300  4  05 0B 00 01 
   142)     12427.6  Rx     03106300  4  05 0B 00 01 
   143)     12427.9  Rx     03106303  1  05 
   144)     12527.6  Rx     03106300  4  05 0B 00 01 
   145)     12657.6  Rx     03106300  4  05 0B 00 01 
   146)     12757.6  Rx     03106300  4  05 0B 00 01 
   147)     12857.6  Rx     03106300  4  05 0B 00 01 
   148)     12914.5  Rx     05F83501  1  00 
   149)     12957.6  Rx     03106300  4  05 0B 00 01 
   150)     13057.6  Rx     03106300  4  05 0B 00 01 
   151)     13189.8  Rx     03106300  4  05 0B 00 01 
   152)     13287.7  Rx     03106300  4  05 0B 00 01 
   153)     13387.7  Rx     03106300  4  05 0B 00 01 
   154)     13487.7  Rx     03106300  4  05 0B 00 01 
   155)     13488.0  Rx     03106303  1  05 
   156)     13597.6  Rx     03106300  4  05 0B 00 01 
   157)     13717.6  Rx     03106300  4  05 0B 00 01 
   158)     13817.6  Rx     03106300  4  05 0B 00 01 
   159)     13917.6  Rx     03106300  4  05 0B 00 01 
   160)     13931.3  Rx     05F83501  1  00 
   161)     14017.7  Rx     03106300  4  05 0B 00 01 
   162)     14117.6  Rx     03106300  4  05 0B 00 01 
   163)     14247.6  Rx     03106300  4  05 0B 00 01 
   164)     14347.6  Rx     03106300  4  05 0B 00 01 
   165)     14447.6  Rx     03106300  4  05 0B 00 01 
   166)     14547.6  Rx     03106300  4  05 0B 00 01 
   167)     14548.0  Rx     03106303  1  05 
   168)     14567.5  Rx     03216400  0  
   169)     14597.5  Rx     03216401  0  
   170)     14677.6  Rx     03106300  4  05 0B 00 01 
   171)     14777.6  Rx     03106300  4  05 0B 00 01 
   172)     14877.6  Rx     03106300  4  05 0B 00 01 
   173)     14948.1  Rx     05F83501  1  00 
   174)     14977.6  Rx     03106300  4  05 0B 00 01 
   175)     15077.6  Rx     03106300  4  05 0B 00 01 
   176)     15207.6  Rx     03106300  4  05 0B 00 01 
   177)     15307.6  Rx     03106300  4  05 0B 00 01 
   178)     15407.6  Rx     03106300  4  05 0B 00 01 
   179)     15507.6  Rx     03106300  4  05 0B 00 01 
   180)     15637.6  Rx     03106300  4  05 0B 00 01 
   181)     15639.7  Rx     03106303  1  05 
   182)     15737.7  Rx     03106300  4  05 0B 00 01 
   183)     15837.7  Rx     03106300  4  05 0B 00 01 
   184)     15937.7  Rx     03106300  4  05 0B 00 01 
   185)     15964.8  Rx     05F83501  1  00 
   186)     16037.7  Rx     03106300  4  05 0B 00 01 
   187)     16157.6  Rx     03106300  4  05 0B 00 01 
   188)     16277.6  Rx     03106300  4  05 0B 00 01 
   189)     16377.6  Rx     03106300  4  05 0B 00 01 
   190)     16477.7  Rx     03106300  4  05 0B 00 01 
   191)     16577.7  Rx     03106300  4  05 0B 00 01 
   192)     16697.6  Rx     03106300  4  05 0B 00 01 
   193)     16698.0  Rx     03106303  1  05 
   194)     16797.6  Rx     03106300  4  05 0B 00 01 
   195)     16897.6  Rx     03106300  4  05 0B 00 01 
   196)     16981.6  Rx     05F83501  1  00 
   197)     16997.7  Rx     03106300  4  05 0B 00 01 
   198)     17097.6  Rx     03106300  4  05 0B 00 01 
   199)     17227.7  Rx     03106300  4  05 0B 00 01 
   200)     17327.7  Rx     03106300  4  05 0B 00 01 
   201)     17427.7  Rx     03106300  4  05 0B 00 01 
   202)     17527.7  Rx     03106300  4  05 0B 00 01 
   203)     17657.6  Rx     03106300  4  05 0B 00 01 
   204)     17757.7  Rx     03106300  4  05 0B 00 01 
   205)     17758.0  Rx     03106303  1  05 
   206)     17857.7  Rx     03106300  4  05 0B 00 01 
   207)     17957.6  Rx     03106300  4  05 0B 00 01 
   208)     17998.4  Rx     05F83501  1  00 
   209)     18057.6  Rx     03106300  4  05 0B 00 01 
   210)     18189.9  Rx     03106300  4  05 0B 00 01 
   211)     18287.7  Rx     03106300  4  05 0B 00 01 
   212)     18387.7  Rx     03106300  4  05 0B 00 01 
   213)     18487.7  Rx     03106300  4  05 0B 00 01 
   214)     18597.7  Rx     03106300  4  05 0B 00 01 
   215)     18717.7  Rx     03106300  4  05 0B 00 01 
   216)     18817.7  Rx     03106300  4  05 0B 00 01 
   217)     18818.0  Rx     03106303  1  05 
   218)     18917.7  Rx     03106300  4  05 0B 00 01 
   219)     19015.2  Rx     05F83501  1  00 
   220)     19017.7  Rx     03106300  4  05 0B 00 01 
   221)     19117.7  Rx     03106300  4  05 0B 00 01 
   222)     19247.7  Rx     03106300  4  05 0B 00 01 
   223)     19347.7  Rx     03106300  4  05 0B 00 01 
   224)     19447.7  Rx     03106300  4  05 0B 00 01 
   225)     19547.7  Rx     03106300  4  05 0B 00 01 
   226)     19677.7  Rx     03106300  4  05 0B 00 01 
   227)     19777.6  Rx     03106300  4  05 0B 00 01 
   228)     19877.7  Rx     03106300  4  05 0B 00 01 
   229)     19878.0  Rx     03106303  1  05 
   230)     19977.7  Rx     03106300  4  05 0B 00 01 
   231)     20031.9  Rx     05F83501  1  00 
