;$FILEVERSION=1.1
;$STARTTIME=44109.7735347222
;
;   Start time: 05/10/2020 18:33:53.400.0
;   Generated by PCAN-View v4.3.1.603
;
;   Message Number
;   |         Time Offset (ms)
;   |         |        Type
;   |         |        |        ID (hex)
;   |         |        |        |     Data Length
;   |         |        |        |     |   Data Bytes (hex) ...
;   |         |        |        |     |   |
;---+--   ----+----  --+--  ----+---  +  -+ -- -- -- -- -- -- --
     1)         1.4  Rx     01F83100  4  EE 02 00 29 
     2)        12.8  Rx     01F83100  4  EE 02 00 2A 
     3)        24.9  Rx     01F83100  4  EE 02 00 2B 
     4)        25.5  Rx     02F83203  6  70 17 B5 01 C0 08 
     5)        36.3  Rx     03106300  4  05 0B 00 01 
     6)        36.7  Rx     01F83100  4  EE 02 00 2C 
     7)        47.8  Rx     01F83100  4  EE 02 00 2D 
     8)        55.4  Rx     02F83202  1  00 
     9)        59.2  Rx     01F83100  4  EE 02 00 2E 
    10)        65.7  Rx     02F83201  8  00 00 00 00 E4 14 45 41 
    11)        66.0  Rx     02FF1200  1  00 
    12)        71.3  Rx     01F83100  4  EE 02 00 2F 
    13)        82.7  Rx     01F83100  4  EE 02 00 30 
    14)        94.1  Rx     01F83100  4  EE 02 00 31 
    15)       105.6  Rx     01F83100  4  EE 02 00 32 
    16)       117.6  Rx     01F83100  4  EE 02 00 33 
    17)       129.0  Rx     01F83100  4  EE 02 00 34 
    18)       136.3  Rx     03106300  4  05 0B 00 01 
    19)       140.5  Rx     01F83100  4  EE 02 00 35 
    20)       151.8  Rx     01F83100  4  EE 02 00 36 
    21)       155.8  Rx     02F83202  1  00 
    22)       163.9  Rx     01F83100  4  EE 02 00 37 
    23)       175.4  Rx     01F83100  4  EE 02 00 38 
    24)       175.9  Rx     02F83205  2  00 00 
    25)       186.8  Rx     01F83100  4  EE 02 00 39 
    26)       198.2  Rx     01F83100  4  EE 02 00 3A 
    27)       210.3  Rx     01F83100  4  EE 02 00 3B 
    28)       221.6  Rx     01F83100  4  EE 02 00 3C 
    29)       226.4  Rx     02F83200  8  63 00 00 00 EE 02 40 1F 
    30)       233.1  Rx     01F83100  4  EE 02 00 3D 
    31)       244.5  Rx     01F83100  4  EE 02 00 3E 
    32)       256.2  Rx     02F83202  1  00 
    33)       256.7  Rx     01F83100  4  EE 02 00 3F 
    34)       266.3  Rx     03106300  4  05 0B 00 01 
    35)       268.1  Rx     01F83100  4  EE 02 00 40 
    36)       268.4  Rx     03106303  1  09 
    37)       279.5  Rx     01F83100  4  EE 02 00 41 
    38)       290.8  Rx     01F83100  4  EE 02 00 42 
    39)       302.9  Rx     01F83100  4  EE 02 00 43 
    40)       314.3  Rx     01F83100  4  EE 02 00 44 
    41)       325.7  Rx     01F83100  4  EE 02 00 45 
    42)       337.1  Rx     01F83100  4  EE 02 00 46 
    43)       346.9  Rx     02F83201  8  00 00 00 00 E7 14 45 41 
    44)       349.2  Rx     01F83100  4  EE 02 00 47 
    45)       356.7  Rx     02F83202  1  00 
    46)       360.7  Rx     01F83100  4  EE 02 00 48 
    47)       366.5  Rx     03106300  4  05 0B 00 01 
    48)       372.1  Rx     01F83100  4  EE 02 00 49 
    49)       383.5  Rx     01F83100  4  EE 02 00 4A 
    50)       395.6  Rx     01F83100  4  EE 02 00 4B 
    51)       407.0  Rx     01F83100  4  EE 02 00 4C 
    52)       418.4  Rx     01F83100  4  EE 02 00 4D 
    53)       429.8  Rx     01F83100  4  EE 02 00 4E 
    54)       441.9  Rx     01F83100  4  EE 02 00 4F 
    55)       453.3  Rx     01F83100  4  EE 02 00 50 
    56)       457.2  Rx     02F83202  1  00 
    57)       464.7  Rx     01F83100  4  EE 02 00 51 
    58)       466.5  Rx     03106300  4  05 0B 00 01 
    59)       476.1  Rx     01F83100  4  EE 02 00 52 
    60)       477.5  Rx     02F83200  8  63 00 00 00 EE 02 40 1F 
    61)       477.8  Rx     02F83205  2  00 00 
    62)       488.2  Rx     01F83100  4  EE 02 00 53 
    63)       499.7  Rx     01F83100  4  EE 02 00 54 
    64)       511.1  Rx     01F83100  4  EE 02 00 55 
    65)       522.5  Rx     01F83100  4  EE 02 00 56 
    66)       534.6  Rx     01F83100  4  EE 02 00 57 
    67)       546.0  Rx     01F83100  4  EE 02 00 58 
    68)       557.4  Rx     01F83100  4  EE 02 00 59 
    69)       557.7  Rx     02FF1200  1  00 
    70)       566.5  Rx     03106300  4  05 0B 00 01 
    71)       568.9  Rx     01F83100  4  EE 02 00 5A 
    72)       580.9  Rx     01F83100  4  EE 02 00 5B 
    73)       592.3  Rx     01F83100  4  EE 02 00 5C 
    74)       603.8  Rx     01F83100  4  EE 02 00 5D 
    75)       615.1  Rx     01F83100  4  EE 02 00 5E 
    76)       627.2  Rx     01F83100  4  EE 02 00 5F 
    77)       628.1  Rx     02F83201  8  00 00 00 00 E4 14 45 41 
    78)       638.6  Rx     01F83100  4  EE 02 00 60 
    79)       650.0  Rx     01F83100  4  EE 02 00 61 
    80)       658.0  Rx     02F83202  1  00 
    81)       661.5  Rx     01F83100  4  EE 02 00 62 
    82)       666.5  Rx     03106300  4  05 0B 00 01 
    83)       673.5  Rx     01F83100  4  EE 02 00 63 
    84)       685.0  Rx     01F83100  4  EE 02 00 64 
    85)       696.4  Rx     01F83100  4  EE 02 00 65 
    86)       707.8  Rx     01F83100  4  EE 02 00 66 
    87)       719.8  Rx     01F83100  4  EE 02 00 67 
    88)       728.5  Rx     02F83200  8  63 00 00 00 EE 02 40 1F 
    89)       731.3  Rx     01F83100  4  EE 02 00 68 
    90)       742.7  Rx     01F83100  4  EE 02 00 69 
    91)       754.1  Rx     01F83100  4  EE 02 00 6A 
    92)       758.4  Rx     02F83202  1  00 
    93)       766.2  Rx     01F83100  4  EE 02 00 6B 
    94)       777.6  Rx     01F83100  4  EE 02 00 6C 
    95)       778.6  Rx     02F83205  2  00 00 
    96)       786.4  Rx     03106300  4  05 0B 00 01 
    97)       789.0  Rx     01F83100  4  EE 02 00 6D 
    98)       800.4  Rx     01F83100  4  EE 02 00 6E 
    99)       812.5  Rx     01F83100  4  EE 02 00 6F 
   100)       823.9  Rx     01F83100  4  EE 02 00 70 
   101)       835.3  Rx     01F83100  4  EE 02 00 71 
   102)       846.8  Rx     01F83100  4  EE 02 00 72 
   103)       858.8  Rx     01F83100  4  EE 02 00 73 
   104)       859.1  Rx     02F83202  1  00 
   105)       870.2  Rx     01F83100  4  EE 02 00 74 
   106)       881.7  Rx     01F83100  4  EE 02 00 75 
   107)       893.1  Rx     01F83100  4  EE 02 00 76 
   108)       905.1  Rx     01F83100  4  EE 02 00 77 
   109)       906.3  Rx     03106300  4  05 0B 00 01 
   110)       909.3  Rx     02F83201  8  00 00 00 00 E2 14 45 41 
   111)       916.6  Rx     01F83100  4  EE 02 00 78 
   112)       928.0  Rx     01F83100  4  EE 02 00 79 
   113)       929.3  Rx     02F83203  6  70 17 B5 01 C0 08 
   114)       939.4  Rx     01F83100  4  EE 02 00 7A 
   115)       951.5  Rx     01F83100  4  EE 02 00 7B 
   116)       959.3  Rx     02F83202  1  00 
   117)       962.9  Rx     01F83100  4  EE 02 00 7C 
   118)       974.3  Rx     01F83100  4  EE 02 00 7D 
   119)       979.7  Rx     02F83200  8  63 00 00 00 EE 02 40 1F 
   120)       985.7  Rx     01F83100  4  EE 02 00 7E 
   121)       997.8  Rx     01F83100  4  EE 02 00 7F 
   122)      1006.3  Rx     03106300  4  05 0B 00 01 
   123)      1009.2  Rx     01F83100  4  EE 02 00 80 
   124)      1020.7  Rx     01F83100  4  EE 02 00 81 
   125)      1032.1  Rx     01F83100  4  EE 02 00 82 
   126)      1044.1  Rx     01F83100  4  EE 02 00 83 
   127)      1049.7  Rx     02FF1200  1  00 
   128)      1055.5  Rx     01F83100  4  EE 02 00 84 
   129)      1059.7  Rx     02F83202  1  00 
   130)      1067.0  Rx     01F83100  4  EE 02 00 85 
   131)      1078.4  Rx     01F83100  4  EE 02 00 86 
   132)      1079.8  Rx     02F83205  2  00 00 
   133)      1090.5  Rx     01F83100  4  EE 02 00 87 
   134)      1101.9  Rx     01F83100  4  EE 02 00 88 
   135)      1106.3  Rx     03106300  4  05 0B 00 01 
   136)      1113.3  Rx     01F83100  4  EE 02 00 89 
   137)      1124.7  Rx     01F83100  4  EE 02 00 8A 
   138)      1136.8  Rx     01F83100  4  EE 02 00 8B 
   139)      1148.2  Rx     01F83100  4  EE 02 00 8C 
   140)      1159.6  Rx     01F83100  4  EE 02 00 8D 
   141)      1160.1  Rx     02F83202  1  00 
   142)      1171.0  Rx     01F83100  4  EE 02 00 8E 
   143)      1183.1  Rx     01F83100  4  EE 02 00 8F 
   144)      1190.6  Rx     02F83201  8  00 00 00 00 E7 14 45 41 
   145)      1194.5  Rx     01F83100  4  EE 02 00 90 
   146)      1206.0  Rx     01F83100  4  EE 02 00 91 
   147)      1206.4  Rx     03106300  4  05 0B 00 01 
   148)      1217.4  Rx     01F83100  4  EE 02 00 92 
   149)      1229.4  Rx     01F83100  4  EE 02 00 93 
   150)      1230.7  Rx     02F83200  8  63 00 00 00 EE 02 40 1F 
   151)      1240.9  Rx     01F83100  4  EE 02 00 94 
   152)      1252.3  Rx     01F83100  4  EE 02 00 95 
   153)      1260.6  Rx     02F83202  1  00 
   154)      1263.7  Rx     01F83100  4  EE 02 00 96 
   155)      1275.8  Rx     01F83100  4  EE 02 00 97 
   156)      1287.2  Rx     01F83100  4  EE 02 00 98 
   157)      1298.6  Rx     01F83100  4  EE 02 00 99 
   158)      1310.0  Rx     01F83100  4  EE 02 00 9A 
   159)      1322.0  Rx     01F83100  4  EE 02 00 9B 
   160)      1326.3  Rx     03106300  4  05 0B 00 01 
   161)      1326.7  Rx     03106303  1  09 
   162)      1333.5  Rx     01F83100  4  EE 02 00 9C 
   163)      1345.0  Rx     01F83100  4  EE 02 00 9D 
   164)      1356.3  Rx     01F83100  4  EE 02 00 9E 
   165)      1361.0  Rx     02F83202  1  00 
   166)      1368.4  Rx     01F83100  4  EE 02 00 9F 
   167)      1379.9  Rx     01F83100  4  EE 02 00 A0 
   168)      1381.3  Rx     02F83203  6  70 17 B5 01 C0 08 
   169)      1381.6  Rx     02F83205  2  00 00 
   170)      1391.3  Rx     01F83100  4  EE 02 00 A1 
   171)      1402.7  Rx     01F83100  4  EE 02 00 A2 
   172)      1414.8  Rx     01F83100  4  EE 02 00 A3 
   173)      1426.1  Rx     01F83100  4  EE 02 00 A4 
   174)      1426.6  Rx     03106300  4  05 0B 00 00 
   175)      1437.6  Rx     01F83100  4  EE 02 00 A5 
   176)      1449.0  Rx     01F83100  4  EE 02 00 A6 
   177)      1461.1  Rx     01F83100  4  EE 02 00 A7 
   178)      1461.4  Rx     02F83202  1  00 
   179)      1471.8  Rx     02F83201  8  00 00 00 00 E4 14 45 41 
   180)      1472.7  Rx     01F83100  4  EE 02 00 A8 
   181)      1481.8  Rx     02F83200  8  63 00 00 00 EE 02 40 1F 
   182)      1483.9  Rx     01F83100  4  EE 02 00 A9 
   183)      1495.4  Rx     01F83100  4  EE 02 00 AA 
   184)      1507.4  Rx     01F83100  4  EE 02 00 AB 
   185)      1518.8  Rx     01F83100  4  EE 02 00 AC 
   186)      1526.3  Rx     03106300  4  05 0B 00 00 
   187)      1530.3  Rx     01F83100  4  EE 02 00 AD 
   188)      1541.7  Rx     01F83100  4  EE 02 00 AE 
   189)      1542.0  Rx     02FF1200  1  00 
   190)      1553.1  Rx     01F83100  4  EE 02 00 AF 
   191)      1561.9  Rx     02F83202  1  00 
   192)      1565.2  Rx     01F83100  4  EE 02 00 B0 
   193)      1576.6  Rx     01F83100  4  EE 02 00 B1 
   194)      1588.0  Rx     01F83100  4  EE 02 00 B2 
   195)      1600.1  Rx     01F83100  4  EE 02 00 B3 
   196)      1611.5  Rx     01F83100  4  EE 02 00 B4 
   197)      1622.9  Rx     01F83100  4  EE 02 00 B5 
   198)      1626.3  Rx     03106300  4  05 0B 00 00 
   199)      1634.3  Rx     01F83100  4  EE 02 00 B6 
   200)      1645.7  Rx     01F83100  4  EE 02 00 B7 
   201)      1657.8  Rx     01F83100  4  EE 02 00 B8 
   202)      1662.3  Rx     02F83202  1  00 
   203)      1669.2  Rx     01F83100  4  EE 02 00 B9 
   204)      1680.6  Rx     01F83100  4  EE 02 00 BA 
   205)      1682.4  Rx     02F83205  2  00 00 
   206)      1692.1  Rx     01F83100  4  EE 02 00 BB 
   207)      1704.2  Rx     01F83100  4  EE 02 00 BC 
   208)      1715.5  Rx     01F83100  4  EE 02 00 BD 
   209)      1726.3  Rx     03106300  4  05 0B 00 01 
   210)      1727.2  Rx     01F83100  4  EE 02 00 BE 
   211)      1732.9  Rx     02F83200  8  63 00 00 00 EE 02 40 1F 
   212)      1738.4  Rx     01F83100  4  EE 02 00 BF 
   213)      1750.5  Rx     01F83100  4  EE 02 00 C0 
   214)      1753.0  Rx     02F83201  8  00 00 00 00 E4 14 45 41 
   215)      1761.9  Rx     01F83100  4  EE 02 00 C1 
   216)      1762.7  Rx     02F83202  1  00 
   217)      1773.3  Rx     01F83100  4  EE 02 00 C2 
